user_id,favorite_category,favorite_category_share,category_entropy
AE225Z2VRWT6GPTOMA4H4O3H2KVQ,Digital_Music,1.0,-0.0
AE23YCERVBZ7ABKTESKSSXYTLYRA,Digital_Music,1.0,-0.0
AE246WPAV4HBLUOOOKTECTYQ7ZPA,Cell_Phones_and_Accessories,1.0,-0.0
AE25NQAZI3725GZIL5FS52ZIKWKQ,Automotive,1.0,-0.0
AE26ICWKMFJEHDH5VDX4W42H2NMA,Electronics,1.0,-0.0
AE2B7P75BH4A7L56Y365IQPYZ6YA,Digital_Music,1.0,-0.0
AE2C3MK7LXEZJVB2UXM45QCI2TBQ,Digital_Music,1.0,-0.0
AE2DWV6OPSOUHDZEZQBC2MRYAOXA,Clothing_Shoes_and_Jewelry,1.0,-0.0
AE2JT2433VWURU2CEQB4HKLZNDRQ,Digital_Music,1.0,-0.0
AE2KCUCNBBR6ZMIUJQCM7KMQMJ5Q,Digital_Music,1.0,-0.0
AE2KTZVOMXO3XBRSERKGSBX4Q4IA,Automotive,1.0,-0.0
AE2L2VTHKTXIDTE5R7JUU4WW3AZQ,Digital_Music,1.0,-0.0
AE2MDGRKSWOV63U2JGW3MOMIEBSA,Digital_Music,1.0,-0.0
AE2MIK6YBTBRNZZGI5O5Z6VCMEPA,Automotive,1.0,-0.0
AE2ODZ4VYQ5FNNCONSHSNZM7PHSQ,Digital_Music,1.0,-0.0
AE2ONKWFI53HMNABSEGANB4KVVAQ,Digital_Music,1.0,-0.0
AE2SLLQC24HDEHVUWKWDT2G7B23A,Cell_Phones_and_Accessories,0.75,0.8112781244591328
AE2TA5GQH4JI5RQ4W5H5PQOVYBGA,Clothing_Shoes_and_Jewelry,0.8936170212765957,0.5869860483434262
AE2TP5ZT3QD6FSMAWNOJVU2P5ZIA,Digital_Music,1.0,-0.0
AE2UV6XH56H44OZBF3FY3IBS37TA,Digital_Music,1.0,-0.0
AE2VNRCUVMWDDI3VCA7VB6FNNO4A,CDs_and_Vinyl,1.0,-0.0
AE2WCB3PAHPKVXBFCCK6RDQ76XKQ,CDs_and_Vinyl,1.0,-0.0
AE2YFNTYYMTKCY6M2CQ3A75GHRGA,Digital_Music,1.0,-0.0
AE33XC2AXNEN6S3OVTPHVX7RRVIQ,Digital_Music,1.0,-0.0
AE34NEUMAQ27PPO63WLRTRDUKWFQ,Cell_Phones_and_Accessories,1.0,-0.0
AE34VA3WMMQ66SY7HAFPRZNZUEBA,Electronics,0.5,1.5
AE35DGEQAVUE6ADUZZMQWLZIESIA,Digital_Music,1.0,-0.0
AE35DHGBMKOUASVTTHQCYTHVHKKA,CDs_and_Vinyl,1.0,-0.0
AE36CH2CNKXKUUZSSDUBSFN5ARWQ,Digital_Music,1.0,-0.0
AE3A3DKHZOBCZS6352E5VP2WE2CA,Cell_Phones_and_Accessories,1.0,-0.0
AE3ADG6WP7UYB54J3CRQ22BLQE3A,Digital_Music,1.0,-0.0
AE3C62JLCUWE273CJ3MNBXLJAJ6Q,Cell_Phones_and_Accessories,0.5,1.5
AE3C6ZSDIWLXHZ4MW6LNITGHZWLQ,Digital_Music,1.0,-0.0
AE3DNVXK3KQ52BTHWDTKCJOZ2WPQ,Digital_Music,1.0,-0.0
AE3KRBQITID7SAJ2W5H5E7RD35DA,Digital_Music,1.0,-0.0
AE3LOM7QWQC2PDQJ3KDBWSTIAEXA,Cell_Phones_and_Accessories,0.8,0.7219280948873623
AE3PCPB24YTHGIIIWZOWBZ6VZIVA,Cell_Phones_and_Accessories,1.0,-0.0
AE3Q6AEWP7Y7CH4N6IWEP4YBNP2A,Clothing_Shoes_and_Jewelry,0.7222222222222222,1.0529407605626346
AE3S23WS6PMZEJAFOOS4YA67YHOA,Digital_Music,1.0,-0.0
AE3TVIQU3RAYXVKHWBBVU44GVESA,Digital_Music,1.0,-0.0
AE3U73QGVDLZUA2DSACCVDCYAY6Q,Electronics,0.4117647058823529,1.7838593436779768
AE3U7D7TFKOJB4YHU223VIJZCZ5Q,Digital_Music,1.0,-0.0
AE3UAOMGVAWIMC7642H7FBAI46EA,Digital_Music,1.0,-0.0
AE3VGST2ATPP7OTR3YGP43EMVT7Q,Cell_Phones_and_Accessories,1.0,-0.0
AE3VSUJHP2KB42ZW6RYEL2ZL2Z4Q,CDs_and_Vinyl,1.0,-0.0
AE3WI6JPR64423XDLLWJIFDTQBJA,CDs_and_Vinyl,1.0,-0.0
AE3WJ3IDKDL3AVWIVWVIIFOQKBEQ,Digital_Music,1.0,-0.0
AE3Y6N4OAXVU7AX3PZZ6M5LKEKKQ,Digital_Music,1.0,-0.0
AE3YAVL3JIQDT4GSV23DI6MJ7TRQ,CDs_and_Vinyl,0.5,1.0
AE3ZEVN65B3MWKIBLFRBGMJDGJCA,Books,0.7142857142857143,1.1488348542809166
AE3ZH3YVW3CVJSVJHXDKEOCQH55A,Digital_Music,1.0,-0.0
AE427MY65PZ6FNZ2IY6HCTIIQZEQ,Books,0.4,1.5219280948873621
AE42GH4BGD3R3BJFMZWONYKTPPAA,Digital_Music,1.0,-0.0
AE42OJDQ4FOVEW4XS2ZWBDWFSOKA,Digital_Music,1.0,-0.0
AE45QAEYVTPSHPANWBX4KRUF6MXQ,Digital_Music,1.0,-0.0
AE45YMBT22253F3XWEESXGHVS42A,Digital_Music,1.0,-0.0
AE475YIHKFR4FFV3ECYZS43DRZCA,Digital_Music,1.0,-0.0
AE4DDAEAGC7FBWR6FUOUZI4WOZLQ,Digital_Music,1.0,-0.0
AE4EY2RB3FDDFWK5AEBP2WP3AGMA,Digital_Music,1.0,-0.0
AE4HXIKWVZTAX53MFK77Z2TBZWVA,Digital_Music,1.0,-0.0
AE4JEBI6AAXVC6CKQCOSPLAVUCQQ,Digital_Music,1.0,-0.0
AE4JY2AMAZ76UC5XAOVYLUC6E7YQ,Digital_Music,1.0,-0.0
AE4KVNO5P6N6SP6CQTZTIDHEAWFQ,Books,0.8181818181818182,0.6840384356390417
AE4L2LH55JNFCLHFXFC7YOEQSBIA,Automotive,0.4166666666666667,1.5283688992090207
