user_id,nb_interactions,nb_products,recency_days
AE225Z2VRWT6GPTOMA4H4O3H2KVQ,1,1,1840
AE23YCERVBZ7ABKTESKSSXYTLYRA,1,1,4840
AE246WPAV4HBLUOOOKTECTYQ7ZPA,2,2,1
AE25NQAZI3725GZIL5FS52ZIKWKQ,9,9,1219
AE26ICWKMFJEHDH5VDX4W42H2NMA,3,3,596
AE2B7P75BH4A7L56Y365IQPYZ6YA,1,1,2535
AE2C3MK7LXEZJVB2UXM45QCI2TBQ,1,1,677
AE2DWV6OPSOUHDZEZQBC2MRYAOXA,12,12,436
AE2JT2433VWURU2CEQB4HKLZNDRQ,1,1,69
AE2KCUCNBBR6ZMIUJQCM7KMQMJ5Q,1,1,4473
AE2KTZVOMXO3XBRSERKGSBX4Q4IA,2,2,579
AE2L2VTHKTXIDTE5R7JUU4WW3AZQ,1,1,122
AE2MDGRKSWOV63U2JGW3MOMIEBSA,2,2,2373
AE2MIK6YBTBRNZZGI5O5Z6VCMEPA,1,1,2128
AE2ODZ4VYQ5FNNCONSHSNZM7PHSQ,1,1,6268
AE2ONKWFI53HMNABSEGANB4KVVAQ,1,1,3131
AE2SLLQC24HDEHVUWKWDT2G7B23A,4,4,261
AE2TA5GQH4JI5RQ4W5H5PQOVYBGA,94,94,55
AE2TP5ZT3QD6FSMAWNOJVU2P5ZIA,1,1,2271
AE2UV6XH56H44OZBF3FY3IBS37TA,1,1,3618
AE2VNRCUVMWDDI3VCA7VB6FNNO4A,2,2,1820
AE2WCB3PAHPKVXBFCCK6RDQ76XKQ,1,1,3673
AE2YFNTYYMTKCY6M2CQ3A75GHRGA,1,1,2282
AE33XC2AXNEN6S3OVTPHVX7RRVIQ,1,1,2167
AE34NEUMAQ27PPO63WLRTRDUKWFQ,1,1,1855
AE34VA3WMMQ66SY7HAFPRZNZUEBA,4,4,656
AE35DGEQAVUE6ADUZZMQWLZIESIA,1,1,3721
AE35DHGBMKOUASVTTHQCYTHVHKKA,13,13,2497
AE36CH2CNKXKUUZSSDUBSFN5ARWQ,1,1,746
AE3A3DKHZOBCZS6352E5VP2WE2CA,1,1,1884
AE3ADG6WP7UYB54J3CRQ22BLQE3A,6,6,193
AE3C62JLCUWE273CJ3MNBXLJAJ6Q,4,4,248
AE3C6ZSDIWLXHZ4MW6LNITGHZWLQ,5,5,731
AE3DNVXK3KQ52BTHWDTKCJOZ2WPQ,1,1,733
AE3KRBQITID7SAJ2W5H5E7RD35DA,1,1,2249
AE3LOM7QWQC2PDQJ3KDBWSTIAEXA,5,5,262
AE3PCPB24YTHGIIIWZOWBZ6VZIVA,2,2,613
AE3Q6AEWP7Y7CH4N6IWEP4YBNP2A,18,18,78
AE3S23WS6PMZEJAFOOS4YA67YHOA,1,1,1314
AE3TVIQU3RAYXVKHWBBVU44GVESA,1,1,7557
AE3U73QGVDLZUA2DSACCVDCYAY6Q,17,17,14
AE3U7D7TFKOJB4YHU223VIJZCZ5Q,2,2,1842
AE3UAOMGVAWIMC7642H7FBAI46EA,1,1,1132
AE3VGST2ATPP7OTR3YGP43EMVT7Q,1,1,1462
AE3VSUJHP2KB42ZW6RYEL2ZL2Z4Q,1,1,2184
AE3WI6JPR64423XDLLWJIFDTQBJA,1,1,1787
AE3WJ3IDKDL3AVWIVWVIIFOQKBEQ,1,1,1987
AE3Y6N4OAXVU7AX3PZZ6M5LKEKKQ,1,1,589
AE3YAVL3JIQDT4GSV23DI6MJ7TRQ,4,4,625
AE3ZEVN65B3MWKIBLFRBGMJDGJCA,7,7,258
AE3ZH3YVW3CVJSVJHXDKEOCQH55A,1,1,1927
AE427MY65PZ6FNZ2IY6HCTIIQZEQ,5,5,801
AE42GH4BGD3R3BJFMZWONYKTPPAA,1,1,187
AE42OJDQ4FOVEW4XS2ZWBDWFSOKA,1,1,2957
AE45QAEYVTPSHPANWBX4KRUF6MXQ,1,1,3235
AE45YMBT22253F3XWEESXGHVS42A,1,1,2176
AE475YIHKFR4FFV3ECYZS43DRZCA,1,1,6209
AE4DDAEAGC7FBWR6FUOUZI4WOZLQ,1,1,2201
AE4EY2RB3FDDFWK5AEBP2WP3AGMA,1,1,2502
AE4HXIKWVZTAX53MFK77Z2TBZWVA,1,1,3670
AE4JEBI6AAXVC6CKQCOSPLAVUCQQ,1,1,929
AE4JY2AMAZ76UC5XAOVYLUC6E7YQ,1,1,3185
AE4KVNO5P6N6SP6CQTZTIDHEAWFQ,11,11,11
AE4L2LH55JNFCLHFXFC7YOEQSBIA,24,24,10
AE4LSM4GFD66A4EIWZ2J5OSWQNGQ,1,1,1519
AE4NUPKI764YXEKLO3RFELE6NKOA,1,1,3191
AE4Q3FPKMKMRHPNWBCHW5XNVB6AA,1,1,3206
AE4QJPWRRCQO3K2KCGZWRYDFV4KA,3,3,1483
AE4TAG762WBWX53E6DNM7XSVBDWQ,1,1,3136
AE4VDUS22PQQM5D6W7WVWYWRYCEQ,1,1,1812
AE4WMJOOYYWIJAOTOSPZEI27LSJA,1,1,3295
AE52U34CK7FHXFZXLBV5T7EPLKPQ,1,1,4578
AE53BPYA42RVO7EG7MIR7AMUSZBQ,1,1,2229
AE53SGI7K7H4CEGNVNSO3CXSDNUQ,2,2,2607
AE542ITELIXSMJJNDW2UQJSQLZNA,1,1,2310
AE54PZQCH4FATQNTHJBWND5GTPMQ,1,1,3334
AE55IRK2BWNVKDHN3INKG7I2JNEA,1,1,1953
AE56IRAS2UYOMTI5XOSCRGXF3A2A,1,1,2112
AE56U36OKSLHOJXLTYN6K5FVDSOQ,8,8,2791
AE57MRF2R2ALCC6H5WQLFKT7KSSA,24,24,131
AE5AEF6MZZ4Q6QVYQI66U2KNP6IQ,1,1,5648
AE5BARZD36USKQBRWADEGTHGPSVQ,1,1,1404
AE5CE7OYTR6GVPFPLDKU4WH2U3QA,1,1,3274
AE5DIA2HDWBPNGBO2FXN2PF4NQJA,21,21,109
AE5DK6FQTEOBBFONY64EW3ZFTYVQ,1,1,2618
AE5EFPZILS6MKIZZBS536VEFQO4A,5,5,1303
AE5GHFQZ6IXM4QNYTLTYJO24KQZQ,1,1,2141
AE5II4T3UESJURZWUG4L7X5LMMWA,2,2,800
AE5KMBYQASBZID6LHGS76DVDFYPA,4,4,50
AE5LPFNQAV3XHJNHD2ICKIN257XQ,1,1,3089
AE5N6XYINB7U5E735LESJZJMCAMQ,1,1,342
AE5NGNFR5BFZV4VEOUVLKIYPGDFA,3,3,158
AE5NMN6ZORL2AN3DXJN7RH234DEA,1,1,1290
AE5NOSEXKQHWMPATOYD3FM2ZJ5BQ,1,1,465
AE5PCZCRUBNDXNLAT7SJKKBRPQIQ,3,3,627
AE5QBPPZ53NJC2BDX7UZPKJEL5CQ,1,1,2728
AE5QCAY6EVMM5KGT4GNSMBUIAIEQ,3,3,499
AE5R25NB3AXXTVV6R4GBQAZXQFFQ,1,1,2854
AE5RPKDYYDXVZ7VNUHU76MFP2XFA,2,2,670
AE5TS6P6VOVNO5YYHRKEFAGHEMKA,1,1,380
AE5UW4XLVL5AXSJP24MTH4LKK4DA,1,1,3605
AE5VC672ROYF2LMFXC5GZQ63D25A,1,1,2475
AE5VPKX64CVOPH6X75C7EQXAIGLA,1,1,3176
AE62OB3JYQR2U6F34BAIJPQ5SWOQ,1,1,559
AE62UN4Q5JNY6V3J6BOXSW4XC3KA,1,1,3514
AE63IY2VV2QNP4BLIEEOP7YMQVCQ,2,2,2552
AE63QWJX2YH2MYOW5UE7WO3DEGTA,4,4,524
AE63SKK47DLG5EONUFB3GH4UUJRA,5,5,82
AE64BPHBPF6A3OHCTHFDKJABRRMA,1,1,1223
AE64TJC4RYNSJEH2O5BOXUYQ2OJQ,1,1,2434
AE65J3QI4AE6R6VMJDM2GELREEUA,1,1,1342
AE66SREAZUBIZQLO6N337HZ6LKRA,1,1,2663
AE676FZ5UX5SR45OR7H5IQLLPLIQ,1,1,1697
AE6AL5KN3ZXJZD62ZVOOFMNOZ4PA,4,4,457
AE6BON6K5BLJC7CW5FNBII2PFQCQ,1,1,86
AE6BQHYSTFGJAGWNJHT2QIWLQVOA,2,2,553
AE6BS6CP27GCC4E24ODYORMVXRXA,1,1,352
AE6D7ZSUYY43IOUORRDOY5EGKZSQ,1,1,736
AE6DFDMIJAVW57EVMRJH2M2X6ACA,1,1,503
AE6EPWEAGVOKWS42HYLLT2CZWTGQ,1,1,2411
AE6ETV4O3RQHZKKWDOG5UMEAWQKA,1,1,1129
AE6FCNSLO27JTUJYWXMN7NTUBRWQ,1,1,6629
AE6FCSWU5QD2YEOQTS6ZS6WP24MA,1,1,3078
AE6FJD2A2MHZF3KKAHCECTSJDWWA,1,1,2591
AE6FQEKWD2XKUATYU2TWZE6HPO7Q,1,1,1170
AE6G3FGNUAICEI7CN24HLLVKGLVA,1,1,2526
AE6HTDHTIHQX37MKNM4RLKC4QPAA,1,1,1290
AE6JGOLFSLXLAQX73X36J2I3RVNQ,4,4,2681
AE6LANOUP4X6HAV2THT7JMXEZ5AA,2,2,870
AE6LJNAD5XA3OPVLECDOS46HGBZQ,1,1,1969
AE6LXZB4CFCQIEZMHKLEWHCUAWEA,1,1,3440
AE6M4A6VUJMAC6DSDEFVSCNTRXVQ,1,1,4724
AE6MQB5IFXKYCRQ3JUSCB4CJGAHQ,1,1,2678
AE6MYJPNUBVETY6GBEFCBTVGBMTA,1,1,197
AE6P2YJ6FKX332MD56GPJFSHXNJQ,7,7,302
AE6R7KWG62VQK4KW25T2X2IRCKBA,1,1,3631
AE6SFGOYFVW5332HQFP5TSJPOZYA,20,20,239
AE6SKOXFZQTERQA2STK7PQGOJHOQ,1,1,1182
AE6SR3MLGOVKNCT34BBN3PDC34OA,1,1,305
AE6T5HPHZOJKN2BGUA3ZAVDKDOWQ,3,3,731
AE6U2ZCGCBRDU3TT3PVH44ITRLOA,1,1,2267
AE6UBT75DVICTSPGLW5SKCLWCQKA,1,1,5583
AE6VDHCPPW2D3R7IYILBAE5C32RA,1,1,923
AE6VOJKW3SN7SOLUTLAFUVZVSZVQ,1,1,140
AE6XLURQ2JFED7NWXHCGH4GQ6OBQ,10,10,2913
AE6YLEEPJ47WLVVHEJ4CSBONBVBA,4,4,793
AE6Z44KMO6NKWNHG5K4VKOGESRNA,4,4,1113
AE6ZACCQOGZIDDWM4TZPAEKUJRHA,1,1,2736
AE72A3F2N3PVD4CJM527Z4N6CN2A,4,4,14
AE73SQJO4UU5DT7JN6KY2LDG4MUQ,1,1,1722
AE74DYR3QUGVPZJ3P7RFWBGIX7XQ,32,32,52
AE75B5FZXGAK52RQY5XKLQTTK4HA,8,8,1383
AE76ZZSO47UTKCCUYBOGXKFB4R4A,2,2,2837
AE77VJ56TAIJ7X45CVYTUL6U7YKQ,1,1,2638
AE7BV6IMNPZ3F266H7PXMH3BZQNQ,545,545,25
AE7DXPRK4AXPP7WM3KFZQGLU6XNQ,1,1,4375
AE7I4XETWQMHZM7DW7QOZE4HCHKQ,2,2,1624
AE7IRGN5QWIIIPASDW4WG5LD7HNA,1,1,1923
AE7KBICSNXLU4UH24NY5SQ6RCPKQ,1,1,3200
AE7KKMDQFVFXWFU2Y2IWVTVLR7PA,1,1,1830
AE7LHVMYVJ37S2AVVQ4VQ3AQDNOA,1,1,2334
AE7NJNAHEAH2RHHWAAQ3UBSOT3IQ,1,1,2825
AE7PS5YGIOGEVUGCTWRNJFDSKZUA,1,1,3360
AE7RGRZE7GNOHIOPKEWBCW2RNBLA,1,1,2277
AE7RZT7S3LOTSS2RZSNZJ6CZ32UQ,1,1,2124
AE7SM7AAXKP5TUKS4SR5KQ4U3FLQ,1,1,135
AE7TEQNM7S2TTC7LTFZXCKMH5AAQ,8,8,2611
AE7TI6OY6NOCS74NRNKBS7V2RC2A,1,1,1462
AE7U5GXFMYFLQ7SRIULJYIQBFY6Q,1,1,1912
AE7UMLDVE2HU5TNHW4NG7U3DCTSQ,1,1,1799
AE7UWJJ7SYUMWXTVMWRCCAXNCV6Q,1,1,2541
AE7UXMR4DETCYCS42MLXPM4WYCFQ,1,1,2819
AE7W2UJVZSRJWTOBH4XLV6S5TYKA,1,1,6472
AE7XECVDXRFBVTC4GBDYQ32Y53XQ,1,1,669
AE7Y5RLYIKHOZB5NKKOEKYG2SPSQ,33,33,22
AE7ZDNPHYHOI7Q55LZSO6J3JAGYA,1,1,2489
AE7ZR5DNB5MPPJ3KNECRHSDEDPUQ,5,5,1064
AEA2AYPIP3RN2YZWRNFKKD6OGGBA,34,34,147
AEA2HUVJRPQIXXW7G67BDM6QKTQQ,1,1,2064
AEA2J63YMST3MYAXYVRE6RNKZPQA,1,1,3429
AEA4MGHSNHUY7VP2O7DMPT4QOONA,2,2,3046
AEA5CXVRQULWM6XGFQT2LJZ67D5A,3,3,2561
AEAAKJTQZFBCEF3SY6DP43GRASHA,2,2,83
AEAANRBX3MEOKWDZHJR57D4IKGJQ,1,1,3336
AEAF5IPJIWVMWHJK5NL3GVIATL4A,1,1,2357
AEAFMXFN5Y3QI6WQ6K5NBUCJALEA,3,3,92
AEAGCIMGDOZO4UE4KHV2Y4KGGIKA,2,2,2863
AEAJJTYNMR64RK4DY4YUWQKRHJVQ,1,1,2926
AEAKA6XDHEBKYWF5MI74RC77N4ZQ,1,1,3704
AEAKL4XCE2VWMJB3ONTWZMQZCV6Q,1,1,3062
AEAL7CCMGMGLZ7R4NHQ47R7RI2AA,1,1,3243
AEAPVXLCCZWRESQGTCYMMC7KCU2A,1,1,1523
AEAQZNKKZXYG6HRG2TTXEZUN3G6Q,1,1,452
AEASVRO6MDPXZIOTWH3SVNMYROOA,1,1,2277
AEAU4B3HGL46SP3ARQZZ3B7PDA4Q,10,10,591
AEAUZK2OLWXD75AWJOCCGGCL3H2A,7,7,961
AEAVLSCYOUN57UZXZ5WEWPIAG35Q,1,1,3920
AEAY77QOBMM2D3P5A7JBKW52OVMA,1,1,2191
AEAYAZZGR4AMIXCWZK2MZW437XRA,2,2,2845
AEAYCPAO7M75VC7U2FA2U6NQBZDA,14,14,409
AEAZOEPTNIR4ITRBHODX7UCKOWUQ,1,1,2994
AEB2HFFRD4CUYOW4OMUYH2JFX2GQ,1,1,564
AEB3R5XKQSVEXWOIMF2JC5BQE2HA,4,4,2280
AEB7QWAL6J4YHBCBKR5KYQ42IRFQ,3,3,572
AEBEBRMSAX44H4SVVGZK3NMATP3A,2,2,568
AEBEJ6DXXVSLCXD6NJ4XPVWRYDNA,3,3,62
AEBEMKCZEMUFCPGTHMPVILJ7Z5VA,3,3,65
AEBEVCYY3HASVJ2Z5Q2Q36TENT2A,56,56,10
AEBFBBNXOJIBL5SNXHXRSINM6IPA,1,1,194
AEBGDMORWULPCKAQGGLY254MN7OA,2,2,3166
